age,総量,動物性食品,植物性食品,穀類,米・加工品,米,米加工品,小麦・加工品,小麦粉類,パン類（菓子パンを除く）,菓子パン類,うどん、中華めん類,即席中華めん,パスタ類,その他の小麦加工品,その他の穀類・加工品,そば・加工品,とうもろこし・加工品,その他の穀類,いも類,いも・加工品,さつまいも・加工品,じゃがいも・加工品,その他のいも・加工品,でんぷん・加工品,砂糖・甘味料類,豆類,大豆・加工品,大豆（全粒）・加工品,豆腐,油揚げ類,納豆,その他の大豆加工品,その他の豆・加工品,種実類,野菜類,緑黄色野菜,トマト,にんじん,ほうれん草,ピーマン,その他の緑黄色野菜,その他の野菜,キャベツ,きゅうり,大根,たまねぎ,はくさい,その他の淡色野菜,野菜ジュース,漬け物,葉類漬け物,たくあん・その他の漬け物,果実類,生果,いちご,柑橘類,バナナ,りんご,その他の生果,ジャム,果汁・果汁飲料,きのこ類,藻類,魚介類,生魚介類,あじ、いわし類,さけ、ます,たい、かれい類,まぐろ、かじき類,その他の生魚,貝類,いか、たこ類,えび、かに類,魚介加工品,魚介（塩蔵、生干し、乾物）,魚介（缶詰）,魚介（佃煮）,魚介（練り製品）,魚肉ハム、ソ－セ－ジ,肉類,畜肉,牛肉,豚肉,ハム、ソ－セ－ジ類,その他の畜肉,鳥肉,鶏肉,その他の鳥肉,肉類（内臓）,その他の肉類,鯨肉,その他の肉・加工品,卵類,乳類,牛乳・乳製品,牛乳,チ－ズ,発酵乳・乳酸菌飲料,その他の乳製品,その他の乳類,油脂類,バタ－,マ－ガリン,植物性油脂,動物性油脂,その他の油脂,菓子類,和菓子類,ケーキ・ペストリー類,ビスケット類,キャンディー類,その他の菓子類,嗜好飲料類,アルコール飲料,日本酒,ビ－ル,洋酒・その他,その他の嗜好飲料,茶,コーヒー・ココア,その他の嗜好飲料,調味料・香辛料類,調味料,ソース,しょうゆ,塩,マヨネ－ズ,味噌,その他の調味料,香辛料・その他,year,gender
1～6歳,1227.3455,325.160109,902.185386,269.449735,198.298082,196.851142,1.44694,67.72975,3.440851,27.972472,4.2381,20.683043,1.386853,7.049435,2.958997,3.421903,0.730305,1.328703,1.362894,36.645401,35.177738,8.661714,19.915773,6.600251,1.467662,3.564227,29.276838,29.0173,1.146096,17.323072,2.739779,5.711609,2.096744,0.259538,1.047904,146.09057,49.48997,6.602053,16.34744,4.599253,2.174493,19.76673,83.909635,11.178592,5.044912,12.907725,24.270248,9.91443,20.593727,11.948611,0.742354,0.14561,0.596744,109.278908,68.12677,0.127596,23.706688,14.411499,13.217767,16.663221,0.983141,40.168997,8.501373,5.599661,31.529333,18.566964,3.969782,3.212582,3.021347,1.113651,2.972851,0.539973,0.849009,2.887769,12.962369,5.795663,1.434923,0.00445,4.62031,1.107023,56.034698,37.872041,7.478354,18.279794,12.113893,0,17.886427,17.762488,0.123939,0.27623,0,0,0,22.423025,214.041473,213.746192,139.061473,3.025292,48.651671,23.007755,0.295282,6.878792,1.083661,0.603498,5.127099,0.047918,0.016616,36.308892,9.551952,8.615155,3.573299,1.196655,13.371831,203.608565,1.425938,1.322247,0,0.10369,202.182627,49.484865,2.952042,149.74572,47.0661,46.957322,0.89643,6.390555,0.760548,1.883617,6.038378,30.987794,0.108778,2012,Male
7～14歳,1924.903,541.577058,1383.32594,476.23152,373.980057,370.159491,3.820566,96.32,6.293554,43.969469,4.924634,23.814312,1.292616,9.003974,7.021442,5.931463,0.58772,1.059342,4.284401,65.168952,61.738822,9.616905,36.896264,15.225653,3.430131,5.544733,48.16416,47.301863,2.968903,28.560624,7.195701,5.971029,2.605606,0.862296,1.404967,249.248877,74.789045,7.40227,27.407167,10.168165,2.955676,26.855766,161.915329,26.711625,8.506578,22.841242,43.124394,19.005679,41.725811,9.162202,3.382302,1.037453,2.344849,93.275597,64.904169,0.127487,23.952822,8.773465,14.883346,17.167049,1.400216,26.971212,13.064029,8.430613,53.58986,32.902574,6.740778,6.370883,2.869328,2.455048,5.716562,1.273193,3.742453,3.734328,20.687285,10.584062,2.139598,0.075627,7.223069,0.664928,110.913771,73.530665,13.950985,42.546204,16.82934,0.204136,36.717647,36.530171,0.187476,0.625152,0.040307,0.031938,0.008368,34.703922,341.096604,341.096604,289.080064,3.991413,34.171152,13.853974,0,11.220168,1.099137,1.260169,8.618697,0.173764,0.068401,38.234823,9.724354,10.364285,2.481653,0.897476,14.767056,299.297597,2.786401,2.282096,0.087837,0.416468,296.511196,88.954629,7.306094,200.250473,75.312804,75.018894,1.717297,11.412615,1.261127,2.566829,10.389736,47.67129,0.293911,2012,Male
15～19歳,2197.60661,452.297327,1745.30928,649.669155,517.546966,513.549532,3.997434,127.900012,6.442535,35.211982,9.794465,44.834268,5.252488,19.409001,6.955273,4.222178,1.995231,0.401551,1.825396,57.708112,55.00049,5.839198,34.383026,14.778266,2.707622,6.78214,49.863714,49.039106,1.105927,30.910846,6.988511,4.457461,5.576361,0.824608,1.620457,271.515626,83.945755,15.362275,23.639543,10.920236,6.765087,27.258614,168.302306,32.343203,8.976938,19.529018,42.545465,18.291172,46.61651,14.644878,4.622688,1.217605,3.405083,92.490637,57.719771,0.131169,20.384292,11.425587,13.113699,12.665024,1.185319,33.585546,12.93495,8.7041,54.864419,30.547837,5.309203,6.102614,3.698386,1.080871,4.60403,1.803781,3.266438,4.682514,24.316582,11.888716,3.045051,0.162893,8.805388,0.414534,166.752585,113.776476,22.964335,65.283124,25.269097,0.25992,50.958104,50.931306,0.026798,1.968792,0.049214,0.049214,0,50.127674,178.953941,178.953941,127.472749,3.870727,32.877461,14.733003,0,16.602991,1.40263,1.656213,13.328723,0.196077,0.019348,34.353957,8.669972,11.253335,1.819101,0.320276,12.291273,454.92414,3.327716,2.485587,0.146072,0.696056,451.596425,193.956618,28.528735,229.111072,89.738008,89.417446,3.515012,12.109347,1.787357,3.65752,8.955959,59.392251,0.320562,2012,Male
20～29歳,2110.27897,335.587445,1774.69153,571.284303,437.927399,433.655125,4.272275,125.90952,4.134475,28.321074,6.017112,55.137036,8.959052,16.112445,7.228326,7.447384,5.279437,1.207373,0.960575,52.385765,49.629634,4.423133,30.437576,14.768924,2.756131,5.42864,47.607522,47.24853,0.508054,27.416591,6.669078,6.271289,6.383518,0.358992,1.287281,254.372122,69.126383,10.480608,20.094963,9.632854,5.08976,23.828198,161.516267,27.406186,7.329072,23.841955,39.075305,19.806009,44.05774,16.054063,7.675409,2.719356,4.956053,61.885481,36.980072,0.12364,7.063806,6.481178,10.190847,13.120602,0.83814,24.06727,15.76773,7.964175,59.89866,35.367362,6.256096,3.383497,4.70299,3.599661,5.500865,1.681701,3.553891,6.688661,24.531298,12.121857,2.531566,0.039371,9.3377,0.500804,136.236698,92.685919,24.372767,50.253538,17.63412,0.425494,39.789966,39.744115,0.045851,3.757717,0.003095,0.003095,0,36.828073,101.357963,101.357963,66.83254,2.609188,18.095491,13.820744,0,14.417553,1.096992,1.063808,12.078409,0.169059,0.009285,23.360796,5.115116,6.85308,1.476622,0.060733,9.855245,605.687114,78.06349,5.422523,56.692369,15.948598,527.623624,235.349689,97.154179,195.119756,114.509098,114.089309,2.399333,13.839718,1.856831,3.52721,9.838268,82.627949,0.419789,2012,Male
30～39歳,2157.97786,301.604442,1856.37342,548.923877,422.306901,418.39637,3.910531,116.44085,5.011822,29.216521,4.864116,47.626732,7.29771,15.652566,6.771382,10.176125,7.79404,0.303655,2.07843,50.149049,47.79081,4.176891,28.191289,15.42263,2.358239,5.718967,49.608039,49.154911,0.464443,30.830965,6.296451,7.079823,4.483229,0.453128,1.17143,265.649404,81.816576,13.115192,20.815735,12.913888,4.90025,30.071511,163.05054,28.848417,8.606753,24.89184,38.146914,17.459679,45.096937,13.180949,7.601338,2.158919,5.44242,46.41145,33.808442,0.033764,9.572691,6.132886,7.563068,10.506032,0.67922,11.923789,15.191934,8.636343,66.540544,41.470161,7.037527,5.161247,4.55878,4.702625,6.894059,2.180459,4.273469,6.661993,25.070383,12.492646,2.268952,0.124905,9.596326,0.587554,124.946811,83.23564,19.524748,47.372447,16.031935,0.30651,39.656325,39.61323,0.043095,2.040428,0.014418,0.009218,0.0052,35.947605,72.917766,72.917766,44.680356,3.238341,18.424506,6.574563,0,13.757528,1.10189,1.256533,11.246566,0.149825,0.002714,20.806158,6.820863,8.393785,0.696361,0.162195,4.732955,722.586637,186.420336,7.961554,137.7355,40.723281,536.166302,215.036309,158.756552,162.373441,109.01432,108.638614,2.52044,14.360376,1.745049,3.366708,10.427365,76.218676,0.375707,2012,Male
40～49歳,2264.86872,306.958696,1957.91002,549.975147,421.430438,417.017969,4.412469,119.385573,4.169243,32.246427,4.501981,49.172186,7.808305,13.496542,7.990889,9.159136,7.513471,0.459494,1.186171,53.403371,50.458431,4.871035,29.558365,16.029032,2.94494,5.844172,56.829636,56.316861,0.698892,35.27825,6.468614,7.615522,6.255582,0.512776,1.896931,272.392556,78.62995,11.905461,20.342804,10.621675,5.055945,30.704065,172.028775,32.296082,9.132281,24.91293,36.381565,22.846738,46.459179,12.527068,9.206763,2.651714,6.555048,56.180841,45.423213,0.080918,9.115185,9.371701,11.801767,15.053643,0.817936,9.939692,15.221595,9.714612,68.560416,41.974204,7.057416,5.63191,4.487233,4.1761,6.246807,3.521349,3.95586,6.89753,26.586212,13.480962,2.323209,0.079162,10.024738,0.678142,124.552659,86.327942,21.278547,46.573477,18.056242,0.419676,36.018244,35.775181,0.243063,2.19783,0.008643,0.00305,0.005593,39.310208,73.072714,73.072714,44.001874,2.374606,19.803458,6.892776,0,13.325023,1.295038,1.214006,10.648003,0.16766,0.000317,16.666141,5.944279,5.634859,0.655568,0.108274,4.323161,792.627093,241.00756,7.323707,169.307133,64.37672,551.619533,238.386533,187.225959,126.007042,115.295603,114.932684,2.717877,14.735716,1.701506,3.483751,10.57692,81.716912,0.362919,2012,Male
50～59歳,2371.03168,315.738713,2055.29297,536.018619,415.495421,409.881598,5.613822,107.700301,3.699785,28.379652,4.530023,45.502274,6.44547,10.553591,8.589506,12.822898,10.100045,0.317984,2.404868,54.244144,52.007878,4.378689,27.612978,20.016211,2.236266,6.809305,66.644801,65.608311,1.003631,42.116168,9.214428,8.149575,5.12451,1.03649,2.797553,290.47317,86.486282,13.469648,21.823075,13.877208,5.736705,31.579646,180.966295,32.389099,9.652709,32.295793,33.834757,21.834807,50.959129,10.337876,12.682717,4.255792,8.426925,74.108562,67.332239,0.079645,13.05228,11.562887,15.686311,26.951116,1.035097,5.741226,17.621366,11.458388,87.526877,53.682798,9.643636,6.272212,6.066569,5.982047,10.648006,3.411159,5.200635,6.458534,33.844079,18.615777,2.266701,0.218439,11.338529,1.404633,109.384505,78.887312,17.974372,44.575502,16.247605,0.089832,28.166598,28.150688,0.015911,2.302221,0.028374,0.028374,0,39.188547,78.561042,78.561042,42.509487,2.729313,25.333418,7.988823,0,12.620174,0.888492,1.249701,10.29273,0.18925,0,18.447414,9.306928,4.225432,0.975095,0.160582,3.779378,850.834336,292.222845,23.247713,178.204019,90.771113,558.611491,254.146476,196.962896,107.502119,114.29288,113.904675,2.814289,15.934189,1.72848,3.358494,12.523656,77.545569,0.388205,2012,Male
60～69歳,2439.64328,323.71987,2115.92341,507.056874,379.992324,375.46071,4.531614,115.305427,3.212765,34.090745,4.718922,56.336079,5.820307,5.630054,5.496556,11.759123,9.593319,0.056537,2.109267,57.017335,55.565307,7.112979,24.873302,23.579027,1.452027,7.234742,73.904608,72.102044,1.2452,43.834126,10.970554,9.904969,6.147195,1.802563,2.398856,321.767045,97.121942,16.740131,20.295651,16.120721,4.835317,39.130123,193.030823,30.690994,10.342612,40.162698,31.879088,24.431411,55.524021,14.828704,16.785575,5.328459,11.457116,126.495523,119.574568,0.040204,24.651444,20.418654,23.956406,50.507861,1.249521,5.671433,22.331526,12.560763,105.675951,64.424869,13.04204,6.076317,7.344051,8.457254,13.10429,4.387348,6.584788,5.42878,41.251082,23.80146,2.772574,0.430273,13.133595,1.11318,87.441802,63.222194,16.231871,33.609637,12.405248,0.975438,22.206752,22.184658,0.022094,1.91427,0.098586,0.084351,0.014235,37.779494,91.818649,91.818649,57.697619,2.113773,27.714491,4.292765,0,10.570888,0.923586,1.354977,8.207511,0.080388,0.004426,21.102284,11.939604,5.464396,1.447856,0.037733,2.212696,842.750187,266.416501,30.915133,143.088593,92.412775,576.333686,324.757536,173.468266,78.107884,111.736752,111.294246,1.80022,17.353232,1.418055,2.92813,13.264466,74.530143,0.442507,2012,Male
70歳以上,2275.40001,317.505196,1957.89482,479.889141,376.022469,370.506102,5.516367,91.552375,2.950606,30.582921,5.288164,41.362929,4.057535,3.675902,3.634318,12.314297,8.922228,0.13981,3.252259,64.313511,62.917504,9.536267,26.434306,26.946931,1.396008,7.696099,71.137716,68.63892,2.137575,42.095146,9.601004,10.142451,4.662744,2.498796,2.780802,323.208209,107.1807,19.301705,21.433726,19.795878,5.095089,41.554302,182.816612,28.455864,10.163844,40.741339,29.799948,21.753438,51.902178,12.606979,20.603917,6.457088,14.146829,156.916515,150.666491,0.016142,32.140288,23.800365,32.441311,62.268386,1.497723,4.752301,17.594039,12.331631,96.229482,61.564097,13.651811,6.278949,7.882417,7.982321,12.863474,4.443965,4.98285,3.47831,34.665385,18.99504,2.458775,0.720396,11.828455,0.662719,66.419023,48.499676,11.189944,27.359067,9.61685,0.333815,16.228371,16.20881,0.019561,1.585716,0.10526,0.080843,0.024417,35.244893,118.857517,118.857517,77.004878,1.943475,35.940137,3.969029,0,8.035063,0.673288,0.906717,6.374066,0.080993,0,22.660272,16.367047,3.161563,1.266876,0.175652,1.689134,697.375186,155.851941,28.220572,72.434431,55.196938,541.523245,366.826276,106.992539,67.70443,94.710913,94.378199,1.572617,16.957949,1.167896,2.418683,14.647779,57.613274,0.332714,2012,Male
（再掲）20歳以上,2290.94092,316.138583,1974.80234,523.964154,402.483122,397.705473,4.777649,110.4929,3.731968,30.905296,4.928255,48.723394,6.329227,9.616931,6.257829,10.988133,8.509649,0.319794,2.15869,56.274908,54.226915,6.236326,27.391547,20.599042,2.047993,6.663126,63.403658,62.092241,1.144888,38.345447,8.575061,8.583087,5.443757,1.311417,2.176686,295.053645,90.100827,14.971598,20.845659,14.691755,5.092488,34.499327,178.145823,30.098373,9.471631,32.916171,34.003419,21.709568,49.946661,13.160731,13.646264,4.288166,9.358098,96.742356,86.891834,0.053386,18.349552,14.73083,19.054933,34.703133,1.083165,8.767357,17.731749,10.879435,84.81254,52.487196,10.206853,5.69761,6.163387,6.292485,9.958411,3.542884,4.964882,5.660683,32.325344,17.50356,2.45668,0.329062,11.191716,0.844326,101.78385,71.468792,17.360394,39.40691,14.242333,0.459155,28.136375,28.0745,0.061876,2.124501,0.054182,0.043659,0.010523,37.27617,91.173905,91.173905,56.65573,2.418959,25.72883,6.370387,0,11.549569,0.963419,1.171691,9.283482,0.128699,0.002279,20.524885,10.229841,5.349159,1.098617,0.119645,3.727623,762.37268,211.144184,19.589376,127.308738,64.24607,551.228497,285.789629,154.475481,110.963386,108.5576,108.173441,2.203673,15.864129,1.539162,3.081591,12.305411,73.179476,0.384158,2012,Male
