age,エネルギー,たんぱく質,うち動物性,脂質,うち動物性,飽和脂肪酸,一価不飽和脂肪酸,n-6系脂肪酸,n-3系脂肪酸,コレステロール,炭水化物,食物繊維,うち水溶性,うち不溶性,ビタミンＡ,ビタミンＤ,ビタミンＥ,ビタミンＫ,ビタミンＢ1,ビタミンＢ2,ナイアシン,ビタミンＢ6,ビタミンＢ12,葉酸,パントテン酸,ビタミンＣ,ナトリウム,食塩相当量,食塩相当量,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,脂肪エネルギー比率,炭水化物エネルギー比率,動物性たんぱく質比率,year,gender
1～6歳,1214.93194,42.228637,23.870893,37.831676,20.75032,12.14008,12.646453,5.733165,1.117118,198.490438,173.213851,8.463606,2.087713,6.05995,402.535122,4.240849,4.201111,124.886682,0.545455,0.791624,7.36124,0.671056,2.91686,155.190241,3.84682,56.206381,2102.9981,5.341615,4.410513,1450.48552,403.805248,140.626041,658.357803,4.136999,5.057115,0.663119,27.429424,58.715256,54.497655,2012,Female
7～14歳,1843.70757,66.479049,38.034546,61.161649,33.153013,19.485776,20.440651,9.39832,1.784269,298.318092,250.400344,12.868317,3.159567,9.298635,531.801649,5.626237,6.175681,183.281886,0.846787,1.209,11.447077,1.037591,4.729304,229.05412,5.703954,74.124809,3383.17162,8.593256,4.70458,2106.02359,620.36154,214.702229,1011.97345,6.30581,8.062604,1.009782,29.694295,55.774435,56.600536,2012,Female
15～19歳,1827.90302,66.48452,38.702556,62.328335,33.535329,17.940563,22.009445,9.828609,1.889971,350.65503,242.827937,12.346488,2.918814,9.001018,491.3228,6.026999,6.25149,200.604682,0.869163,1.095791,12.333058,1.027549,4.673589,238.651267,5.228332,78.038163,3560.71041,9.044204,5.076538,1950.97625,456.322914,202.589832,926.915529,6.66601,8.061577,1.012598,30.3856,55.007547,56.567756,2012,Female
20～29歳,1668.50978,60.736583,33.3319,55.228999,27.727031,15.648175,19.244158,8.974847,1.835914,293.674738,223.114988,11.793766,2.850791,8.621469,475.604369,5.365588,5.917917,194.834539,0.7869,1.059115,12.32073,1.055654,4.439672,235.177883,4.69733,77.578215,3467.42817,8.807268,5.396372,1850.09602,415.417293,197.954542,837.819955,6.452385,7.14172,0.954049,29.498073,55.874524,52.842255,2012,Female
30～39歳,1690.31089,60.742445,31.802648,53.478603,26.360032,14.93269,18.546552,8.882152,1.834377,278.589596,231.331869,12.728518,3.067374,9.203256,489.554041,5.840101,6.166724,210.068201,0.792093,1.030911,12.85951,1.007029,4.726802,243.879032,4.754762,76.255639,3533.85079,8.975981,5.42377,1939.12984,435.766211,208.823403,856.538818,6.55385,7.124872,0.991093,28.154265,57.329667,50.46542,2012,Female
40～49歳,1700.53884,61.150319,31.894048,52.935664,26.040409,14.686899,18.423973,8.919497,1.851614,284.38712,233.238676,12.811149,2.987801,9.407638,464.030382,5.841229,6.143602,208.889011,0.778358,1.01576,13.156142,1.004473,4.515223,250.575018,4.774691,78.815618,3582.11647,9.098576,5.446646,1974.49139,423.684186,214.230707,856.750714,6.68312,7.197284,1.001412,27.661534,57.855481,50.210154,2012,Female
50～59歳,1755.48171,65.283331,34.039124,54.559181,26.440759,14.797086,18.745042,9.290768,2.089335,291.67266,240.771283,14.783653,3.442663,10.853332,520.505045,7.132649,6.708816,230.524663,0.849616,1.132287,14.438331,1.135763,5.437841,289.752142,5.125144,101.556176,3963.98062,10.068511,5.834147,2271.58606,493.98795,242.035728,937.512264,7.460664,7.446159,1.087219,27.65111,57.35525,50.547665,2012,Female
60～69歳,1728.34106,66.932604,34.653868,49.8379,23.891405,12.919231,16.725582,8.769403,2.284629,284.232412,244.702779,16.444488,3.733643,12.078401,564.526753,8.453442,7.081009,266.725778,0.861554,1.197928,15.165274,1.22148,6.636914,330.114682,5.432712,125.363073,4013.44487,10.19415,5.97197,2501.04717,532.09414,260.209554,975.872728,8.148297,7.45822,1.151873,25.553082,58.903682,49.958332,2012,Female
70歳以上,1618.8301,61.620339,31.409649,42.748836,21.006789,11.237826,13.994473,7.652951,2.052912,258.025099,241.64351,15.670878,3.498603,11.554052,548.390263,8.340939,6.364889,251.512143,0.80542,1.156603,13.138799,1.167725,6.252774,319.663291,5.082265,127.279222,3858.19632,9.799819,6.142176,2368.74416,515.667817,242.603202,911.082437,7.644976,7.062905,1.113915,23.295198,61.450804,48.981578,2012,Female
(再掲)20歳以上,1690.02755,62.995556,32.78302,50.289067,24.599594,13.600521,17.109956,8.629386,2.023466,278.875606,237.678983,14.472193,3.337792,10.614661,519.109283,7.157384,6.462054,233.680851,0.815871,1.112161,13.645905,1.114742,5.550564,287.8301,5.030853,103.464171,3780.86392,9.603394,5.779288,2210.50445,480.69379,232.804963,905.479855,7.304393,7.240233,1.067887,26.371039,58.639907,50.171568,2012,Female
(再掲)75歳以上,1569.33392,58.876618,29.656128,40.619958,19.945906,10.684243,13.25258,7.299042,1.944598,248.30812,237.174667,14.81353,3.301992,10.918964,525.651839,7.8382,5.956341,233.250417,0.786175,1.13298,12.451663,1.128311,5.963554,304.833688,4.864345,121.780328,3766.29791,9.566397,6.191957,2247.27647,494.601881,230.699758,869.127698,7.347862,6.802443,1.07375,22.86863,62.103612,48.440635,2012,Female
1～6歳,1294.67855,44.638668,24.972888,40.719938,21.679851,13.049688,13.552115,6.237048,1.214376,211.748779,184.048617,8.654497,2.107532,6.225909,404.158113,4.18101,4.347828,125.298216,0.571387,0.843453,7.531182,0.703967,3.317326,159.049591,4.02922,55.13764,2262.03854,5.745578,4.486895,1496.6289,438.929488,148.475055,694.673979,4.404439,5.376511,0.700577,27.678796,58.584577,53.883397,2012,Male
7～14歳,2110.9639,76.21735,44.381301,68.651452,38.153342,22.167964,22.799862,10.333452,2.064411,341.444146,288.778754,13.727531,3.356067,9.932992,584.539325,6.607454,6.637372,199.706293,0.967131,1.39152,13.071422,1.134283,5.50508,247.924761,6.557181,75.163642,3679.17903,9.345115,4.478957,2334.69958,703.80835,239.237684,1155.77988,6.976058,9.289176,1.149602,29.012209,56.453546,57.250351,2012,Male
15～19歳,2503.71365,86.098403,49.555997,81.225819,43.425594,22.868804,29.148508,13.275931,2.520039,434.328301,344.291207,14.138305,3.329811,10.364685,596.630157,6.759728,7.808884,214.752429,1.149281,1.370159,15.67687,1.29296,5.853931,272.58717,6.704862,86.311805,4315.63003,10.9617,4.45929,2327.85012,550.333458,249.913718,1173.46878,8.15477,10.829838,1.33115,28.93753,57.197709,56.055398,2012,Male
20～29歳,2180.07009,74.615384,40.931553,67.926847,34.980464,18.445985,24.382713,11.444071,2.276547,344.377789,299.983453,12.990806,3.069874,9.46541,533.672719,6.102001,6.693024,207.011558,1.000982,1.225323,15.350414,1.234445,5.596941,252.126784,5.637383,74.96191,4332.436,11.004387,5.184857,2069.38657,448.032994,228.7537,997.54721,7.325899,9.193134,1.186194,27.736093,58.439955,52.785585,2012,Male
30～39歳,2123.74573,73.719683,40.082928,62.694755,31.760263,16.427488,22.354023,10.91206,2.266171,332.598098,288.811297,13.156791,3.090218,9.572882,516.003128,6.292441,6.715847,227.281743,1.001688,1.216162,16.522109,1.327115,5.621373,266.707143,5.556019,74.743533,4214.20337,10.704077,5.152048,2094.81439,430.411824,236.042932,989.965654,7.368034,8.793679,1.172988,26.287759,59.67985,52.813102,2012,Male
40～49歳,2165.50515,74.817568,40.215217,63.356982,32.600157,16.74412,22.604272,11.052882,2.322986,344.677651,290.408736,13.608156,3.152322,9.958173,498.667749,6.883184,6.845829,230.604237,0.991505,1.202834,16.886443,1.235193,6.079008,277.694423,5.723955,78.282626,4354.046,11.059277,5.204708,2190.59132,443.267779,248.133621,1016.9014,7.707821,9.10943,1.229619,26.034675,60.023854,51.922399,2012,Male
50～59歳,2191.60211,77.780439,42.190383,60.893796,30.909661,15.770392,21.421896,10.854284,2.519724,347.169448,291.480004,14.750695,3.329298,10.819806,518.788743,8.764787,6.961495,243.602425,1.017149,1.252554,17.775458,1.327588,7.122566,297.717015,5.798137,87.467525,4636.7283,11.77729,5.432841,2355.31098,488.99407,269.145301,1075.35916,8.217932,9.080605,1.270919,24.90498,60.762204,52.557175,2012,Male
60～69歳,2149.69148,79.162159,42.457259,57.112225,29.382691,14.713741,19.55949,9.966614,2.696252,343.586917,291.169247,16.474088,3.677769,12.16785,587.840052,10.086853,7.298957,271.888792,0.975195,1.306381,18.382741,1.408148,8.48132,340.092185,6.0679,114.175715,4651.27963,11.81425,5.574882,2593.57785,539.200956,284.820257,1115.61477,8.830502,8.963026,1.31806,23.787226,61.4249,51.710906,2012,Male
