곡류 및 그 제품,감자 및 전분류,당류 및 그 제품,두류 및 그 제품,종실류 및 그 제품,채소류,버섯류,과실류,해조류,음료 및 주류,조미료류,유지류(식물성),기타(식물성),육류 및 그 제품,난류,어패류,우유류 및 그 제품,유지류(동물성),Year,Age,Gender
145.61,20.67,1.91,43.03,0.76,63.4,2.17,151.69,1.75,13.53,10.02,2.94,0.26,41.05,15.91,14.95,215.92,0.04,2008,1-2,Male
201.74,19.55,4.37,27.91,2.07,97.03,2.81,135.97,5.04,28.05,14.74,4.15,0.08,34.84,22.24,19.55,247.58,0.11,2008,3-5,Male
289.49,32.11,6.05,27.83,1.63,185.94,3.42,161.84,2.93,58.69,32.34,6.96,0.11,83.36,28.56,38.31,220.79,0.22,2008,6-11,Male
364.19,42.34,7,27.64,2.31,256.66,5.01,98.84,3.67,124.98,40.74,9.02,0.26,118.27,33.73,36.69,175.97,0.47,2008,12-18,Male
309.31,35.75,10.79,45.09,2.27,313.91,3.33,110.15,4.21,321.58,45.76,12.29,0.19,162.55,31.21,76,124.83,0.29,2008,19-29,Male
331.3,32.65,10.67,43.32,2.82,415.03,3.85,160.87,6.11,308.01,48.4,11.15,0.42,115.56,30.31,78.24,61.58,0.19,2008,30-49,Male
335.58,36.83,9,52.13,3.96,413.4,3.37,160.34,5.86,205.95,41.18,8.29,0.21,83.77,16.5,69.96,43.98,0.04,2008,50-64,Male
303.88,33.06,4.94,41.91,2.39,338.97,3.39,124.87,4.37,128.38,31.53,4.04,0.76,54.82,10.19,44.96,36.1,,2008,65,Male
126.9,24.1,3.3,45.4,0.7,50.2,2.6,128.8,1.9,17.1,9,2.4,0.5,21,20.5,14.4,272.5,0,2009,1-2,Male
199.7,25.8,5.2,22.4,1,101.5,3.5,152.8,3.7,33.5,18.6,4.5,0.9,42,30.9,23.5,226.1,0.2,2009,3-5,Male
292.8,30,6.1,25.8,1.6,168.6,3.2,169.6,3.5,58.3,26.4,6.2,0.2,85.6,33.2,30.3,224.5,0.2,2009,6-11,Male
370.5,36.2,8.1,24.7,1.3,227,4.3,147,3.8,98.3,34.3,7.4,0.3,116.9,37.5,39.9,185.5,0.5,2009,12-18,Male
335,38,10.7,37.8,2.5,332,5,149.2,4.6,372.1,49.9,11.6,0.1,157.6,33.3,62.4,118.3,0.4,2009,19-29,Male
345.2,38.7,11.5,44.7,3.9,406,4.6,152.9,5.9,385.4,48.1,12,0.6,124.4,35,80.1,60.5,0.2,2009,30-49,Male
340.8,40.1,8.1,46.7,3.9,404.7,3.8,169.4,6.3,250.1,41.7,7.5,0.4,86.9,15.4,65.1,48.9,0,2009,50-64,Male
315.5,32.3,6.1,40.2,3.6,348.1,2.2,125.5,4.7,128.8,28.4,4.3,0.8,60.7,10.9,45.8,41.4,,2009,65,Male
160.17,23.67,5.87,35.36,2.03,63.12,2.38,195.89,2.59,41.79,8.68,2.29,1.07,29.48,17.73,18.1,306.27,0.07,2010,1-2,Male
243.21,19.09,3.86,25.89,1.56,89.27,2.38,203.65,2.16,44.27,19.5,4.2,0.08,53.08,28.04,22.54,266.41,0.12,2010,3-5,Male
317.72,35.38,9.44,30.37,1.1,152.82,4.35,168.97,3.34,95.18,25.49,6.67,0.71,99.94,33.63,33.47,243.86,0.19,2010,6-11,Male
404.75,29.31,9.6,32.69,1.61,246.93,5.08,133.18,2.57,206.75,39.83,9.56,1.35,177.43,36.95,41.1,206.19,0.39,2010,12-18,Male
267.42,37.8,10.93,25.15,2.63,236.1,3.96,184.14,2.83,311.81,33.27,8.39,0.53,102.97,24.13,48.18,137.45,0.29,2010,19-29,Male
354.57,34.12,13.35,48.94,2.97,404.72,7.32,175.84,4.72,509.07,55.22,13.06,1.46,139.41,38.13,91.03,81.33,0.2,2010,30-49,Male
355.18,34.61,11.34,45.02,5.44,425.5,4.9,189.86,6.98,387.2,41.72,9.13,2.2,92.91,18.63,85.47,58.3,0.09,2010,50-64,Male
342.15,27.86,8.69,44.17,3.13,357.56,2.45,156.16,6.63,180.46,35.46,4.89,1.67,76.72,12.75,53.7,44.03,0.08,2010,65,Male
180.12,17.84,5.18,42.52,1.18,57.96,1.53,143.23,1.81,25.24,8.53,2.92,0.59,37.02,15.56,16.23,260.51,0.05,2011,1-2,Male
220.02,28.65,6.9,33.25,1.1,79.81,3.5,214.51,2.33,54.18,15.91,4.54,0.04,50.56,29.99,17.58,328.06,0.43,2011,3-5,Male
332.37,27.3,7.68,26.14,2.57,165.88,4.28,135.91,2.97,86.69,27.44,6.15,0.13,97.32,38.5,37.92,249.26,0.28,2011,6-11,Male
406.58,33.9,15.02,38.22,2.54,249.81,4.39,126.44,2.43,209.67,46.09,10.86,0.18,172.58,41.74,44.4,197.16,0.72,2011,12-18,Male
359.83,38.81,13.72,39.84,2,323.35,6.13,161.25,2.64,351.35,48.73,13.52,0.29,166.55,35.21,69.61,126.87,0.16,2011,19-29,Male
368.2,42.99,14.07,46.06,3.88,397.61,5.45,143.14,4.75,513.9,54.31,13.51,1.05,145.21,33.79,97.69,74.75,0.22,2011,30-49,Male
369.45,36.98,9.7,57.3,4.36,413.67,4,166.05,4.67,375.41,44.55,8.08,2.1,100.15,20.96,75.07,62.18,0.1,2011,50-64,Male
327.44,27.38,7.93,41.02,3.67,333.11,7.12,133.93,4.09,169.31,28.69,5.23,0.54,62.31,14.54,45.91,42.3,,2011,65,Male
160.2,22.51,5.89,38.01,2,50.06,2.1,156.78,2.65,14.22,6.3,2.58,1.4,29.04,20.58,14.15,279.14,0.14,2012,1-2,Male
216.89,19.47,8.73,20.88,2.1,86.23,3.24,177.87,2.46,43.91,10.89,3.87,3.12,60.39,20.59,20.63,309,0.17,2012,3-5,Male
294.71,30.39,11.54,26.51,2.76,160.68,3.69,169.7,3.45,91.4,23.36,7.2,6.9,98.85,30.55,32.08,262.94,0.15,2012,6-11,Male
375.39,33.04,10.91,28.91,3.7,238.98,5.81,164.74,3.99,206.86,39.86,9.47,1.6,187.23,37.24,37.79,192.65,0.38,2012,12-18,Male
346.69,32.17,15.03,53.09,6.5,293.99,8.62,122.2,3.72,439.12,48.04,12.72,2.11,209.04,36.06,50.68,137.72,0.51,2012,19-29,Male
346.37,30.43,12.7,44.59,5.07,377.13,5.1,179.83,5.61,415.73,48.05,11.47,2.84,156.87,32.75,80.35,70.71,0.13,2012,30-49,Male
334.25,37.24,10.28,42.79,6.45,411.44,2.93,169.39,5.79,335.88,39.13,7.88,2.13,100.23,20.44,68.04,57.21,0.09,2012,50-64,Male
