Age,Year,Gender,에너지(Kcal),단백질(g),동물성단백질(g),지방(g),탄수화물(g),칼슘(mg),인(mg),철(mg),나트륨(mg),칼륨(mg),티아민(mg),리보플라빈(mg),비타민C(mg),동물성단백질비(%),지방급원에너지비(%)
전체,2008,All,1838.41,65.8,30.01,38.79,293.35,475.77,1094.48,12.86,4552.96,2786.81,1.224,1.109,96.33,40.27,18.4
1-2,2008,All,959.06,33.34,17.81,24.19,152.57,390.41,617.57,5.61,1286.04,1314.62,0.639,0.768,54.48,50.94,22.21
3-5,2008,All,1216.56,40.73,20.4,29.04,198.91,425.51,756.48,6.61,1969.97,1652.62,0.782,0.881,61.65,47.64,20.76
6-11,2008,All,1632.25,57.94,29.17,37.68,266.46,472.16,988.41,10.18,3230.04,2237.34,1.092,1.085,77.34,47.29,20.11
12-18,2008,All,1955.25,69.31,34.66,49.15,305.51,455.11,1105.34,11.6,4173.38,2503.06,1.331,1.21,85.03,45.61,21.74
19-29,2008,All,1995.67,73.92,39.74,50.61,286.35,480.35,1140.13,12.43,4752.28,2759.26,1.383,1.229,93.31,47.88,22.61
30-49,2008,All,1980.05,71.75,32.93,41.62,310.63,502.47,1181.51,14.5,5342.58,3161.64,1.338,1.207,110.8,40.85,18.57
50-64,2008,All,1848.19,65.69,24.67,31.19,314.4,510.24,1147.34,14.85,4902.65,3125.59,1.18,1.048,107.68,32.67,14.77
≥ 65,2008,All,1478.93,48.9,14.95,19.53,272.17,377.04,897.32,11.13,3700.47,2296.55,0.892,0.74,76.65,24.69,11.4
전체,2009,All,1884.6,67.49,30.94,39.87,300.64,491.5,1125.73,13.49,4645.42,2848.06,1.26,1.189,100.44,40.87,18.68
1-2,2009,All,957.26,34,19.18,24.12,151.64,453.1,663.97,6.31,1279.28,1375.8,0.661,0.902,55.73,54.85,22.26
3-5,2009,All,1211.7,42.31,22.01,28.81,196.31,409.93,763.66,6.83,2053.54,1665.27,0.788,0.96,67.23,49.28,20.92
6-11,2009,All,1657.41,58.06,29.51,39.3,268.59,478.66,991.94,10.22,3031.77,2235.13,1.133,1.183,83.68,48,20.86
12-18,2009,All,1972.98,68.69,33.94,49.22,313.21,480.93,1121.54,12,4048.78,2515.05,1.36,1.285,89.92,46.18,21.86
19-29,2009,All,2006.71,75.84,40.45,51.36,291.43,508.13,1175.39,13.13,4962.75,2895.14,1.399,1.329,102.25,47.88,22.93
30-49,2009,All,2055.86,75.22,35.25,44.06,319.05,514.66,1230.88,14.98,5462.58,3218.56,1.389,1.291,113.38,42.1,19.22
50-64,2009,All,1905.25,66.61,25.41,31.75,322.42,513.85,1168.51,15.41,5066.87,3142.56,1.226,1.121,109.49,33.55,14.8
≥ 65,2009,All,1524.26,49.38,14.77,20,281.35,403.04,912.66,12.64,3760.43,2395.35,0.915,0.794,79.07,24.4,11.4
전체,2010,All,2050.51,74.03,35.53,44.84,321.08,529.64,1205.28,14.58,4877.46,3006.46,1.374,1.291,105.69,42.47,19.25
