income,age,oil,solid fats,added sugars,alcoholic drinks,year,eggs,nuts and seeds,soybean products,total protein foods,"Total Meat, Poultry, and Seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,total dairy,fluid milk,cheese,yoghurt,total grains,whole grains,refined grains,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total fruit,"citrus, melons, berries",other fruit,fruit juice
"$0 - $24,999",2 -5,13.01,30.61,13.16,0.00,2005_06,0.40,0.23,0.02*,0.74,0.32,0.26,0.07,0.21,0.17,0.04,0.02*,2.29,1.84,0.39,0.05,4.46,0.43,4.03,0.74,0.32,0.26,0.07,0.21,0.17,0.04,0.02*,0.18,1.55,0.13,0.59,0.83
"$0 - $24,999",6 - 11,17.88,36.92,17.75,0.00,2005_06,0.45,0.20,0.02,0.92,0.33,0.26,0.07,0.35,0.30,0.05,0.03*,2.00,1.40,0.56,0.02*,6.45,0.42,6.03,0.92,0.33,0.26,0.07,0.35,0.30,0.05,0.03*,0.21,1.22,0.14,0.48,0.60
"$0 - $24,999",12 - 19,25.98,45.07,28.39,0.17,2005_06,0.29,0.38,0.02,1.27,0.48,0.40,0.08,0.38,0.34,0.04,0.07,1.84,0.88,0.90,0.04*,8.33,0.40,7.93,1.27,0.48,0.40,0.08,0.38,0.34,0.04,0.07,0.35,0.97,0.16,0.32,0.49
"$0 - $24,999",20 and over,21.16,39.92,20.44,0.63,2005_06,0.52,0.59,0.04,1.48,0.45,0.38,0.08,0.39,0.32,0.08,0.09,1.57,0.98,0.55,0.03,6.32,0.67,5.65,1.48,0.45,0.38,0.08,0.39,0.32,0.08,0.09,0.54,0.97,0.17,0.41,0.39
"$0 - $24,999",2 and over,20.91,39.66,20.68,0.48,2005_06,0.48,0.51,0.04,1.36,0.44,0.36,0.08,0.38,0.31,0.07,0.08,1.68,1.06,0.58,0.04,6.44,0.60,5.84,1.36,0.44,0.36,0.08,0.38,0.31,0.07,0.08,0.46,1.03,0.16,0.42,0.45
"$25,000 - $74,999",2 -5,14.33,28.45,13.80,0.00,2005_06,0.23,0.34,0.03*,0.73,0.31,0.26,0.06,0.20,0.16,0.04*,0.03*,2.23,1.66,0.48,0.07,4.48,0.50,3.99,0.73,0.31,0.26,0.06,0.20,0.16,0.04*,0.03*,0.19,1.43,0.13*,0.52,0.78
"$25,000 - $74,999",6 - 11,18.13,40.72,21.16,0.00,2005_06,0.35,0.37,0.02*,0.84,0.29,0.23,0.05,0.27,0.20,0.07*,0.03*,2.19,1.48,0.65,0.05*,6.77,0.51,6.27,0.84,0.29,0.23,0.05,0.27,0.20,0.07*,0.03*,0.25,0.87,0.16,0.32,0.39
"$25,000 - $74,999",12 - 19,20.71,43.42,25.24,0.22,2005_06,0.38,0.34,0.01*,1.09,0.41,0.37,0.04,0.33,0.29,0.04,0.05,2.11,1.18,0.89,0.02*,7.39,0.49,6.90,1.09,0.41,0.37,0.04,0.33,0.29,0.04,0.05,0.29,0.84,0.09,0.29,0.46
"$25,000 - $74,999",20 and over,22.11,42.58,19.03,0.81,2005_06,0.49,0.64,0.05,1.57,0.44,0.35,0.09,0.42,0.35,0.07,0.12,1.65,0.87,0.72,0.04,6.76,0.70,6.06,1.57,0.44,0.35,0.09,0.42,0.35,0.07,0.12,0.59,0.90,0.18,0.37,0.35
"$25,000 - $74,999",2 and over,21.26,41.80,19.59,0.65,2005_06,0.45,0.57,0.05,1.42,0.42,0.34,0.08,0.39,0.32,0.07,0.10,1.77,0.99,0.72,0.04,6.71,0.65,6.06,1.42,0.42,0.34,0.08,0.39,0.32,0.07,0.10,0.51,0.92,0.16,0.37,0.39
"$75,000 and higher",2 -5,13.84,29.26,14.38,0.00,2005_06,0.22,0.24,0.04*,0.77,0.28,0.18,0.10,0.23,0.20,0.04*,0.07*,2.06,1.40,0.55,0.10,5.29,0.51,4.79,0.77,0.28,0.18,0.10,0.23,0.20,0.04*,0.07*,0.19,1.22,0.15,0.32,0.74
"$75,000 and higher",2 -5,13.84,29.26,14.38,0.00,2005_06,0.22,0.24,0.04*,0.77,0.28,0.18,0.10,0.23,0.20,0.04*,0.07*,2.06,1.40,0.55,0.10,5.29,0.51,4.79,0.77,0.28,0.18,0.10,0.23,0.20,0.04*,0.07*,0.19,1.38,0.13,0.48,0.77
"$75,000 and higher",6 - 11,22.39,43.18,20.94,0.00,2005_06,0.51,0.60*,0.01*,0.93,0.29,0.23,0.05,0.27,0.22,0.05*,0.08,2.43,1.53,0.83,0.05*,7.05,0.59,6.46,0.93,0.29,0.23,0.05,0.27,0.22,0.05*,0.08,0.30,1.07,0.21,0.53,0.34
"$75,000 and higher",6 - 11,22.39,43.18,20.94,0.00,2005_06,0.51,0.60*,0.01*,0.93,0.29,0.23,0.05,0.27,0.22,0.05*,0.08,2.43,1.53,0.83,0.05*,7.05,0.59,6.46,0.93,0.29,0.23,0.05,0.27,0.22,0.05*,0.08,0.30,1.02,0.17,0.44,0.41
"$75,000 and higher",12 - 19,21.56,51.59,26.02,0.06*,2005_06,0.38,0.55,0.05*,1.26,0.46,0.42,0.04,0.42,0.35,0.07*,0.05,2.34,1.38,0.91,0.04,8.18,0.52,7.66,1.26,0.46,0.42,0.04,0.42,0.35,0.07*,0.05,0.33,0.95,0.15,0.40,0.40
"$75,000 and higher",12 - 19,21.56,51.59,26.02,0.06*,2005_06,0.38,0.55,0.05*,1.26,0.46,0.42,0.04,0.42,0.35,0.07*,0.05,2.34,1.38,0.91,0.04,8.18,0.52,7.66,1.26,0.46,0.42,0.04,0.42,0.35,0.07*,0.05,0.33,0.91,0.13,0.33,0.45
"$75,000 and higher",20 and over,25.02,41.97,16.49,0.97,2005_06,0.54,0.82,0.10*,1.78,0.47,0.38,0.09,0.44,0.34,0.10,0.17,1.82,0.97,0.76,0.07,6.82,0.87,5.94,1.78,0.47,0.38,0.09,0.44,0.34,0.10,0.17,0.70,0.98,0.17,0.48,0.33
"$75,000 and higher",20 and over,25.02,41.97,16.49,0.97,2005_06,0.54,0.82,0.10*,1.78,0.47,0.38,0.09,0.44,0.34,0.10,0.17,1.82,0.97,0.76,0.07,6.82,0.87,5.94,1.78,0.47,0.38,0.09,0.44,0.34,0.10,0.17,0.70,0.95,0.17,0.41,0.36
"$75,000 and higher",2 and over,23.74,42.77,18.13,0.70,2005_06,0.50,0.73,0.08*,1.57,0.44,0.36,0.08,0.41,0.32,0.08,0.14,1.97,1.11,0.77,0.07,6.95,0.78,6.17,1.57,0.44,0.36,0.08,0.41,0.32,0.08,0.14,0.58,1.00,0.17,0.47,0.36
"$75,000 and higher",2 and over,23.74,42.77,18.13,0.70,2005_06,0.50,0.73,0.08*,1.57,0.44,0.36,0.08,0.41,0.32,0.08,0.14,1.97,1.11,0.77,0.07,6.95,0.78,6.17,1.57,0.44,0.36,0.08,0.41,0.32,0.08,0.14,0.58,0.97,0.17,0.41,0.39
