"variable","value","country"
"food energy(kcal)",1800.66333333333,"South Korea"
"protein(g)",63.7616666666667,"South Korea"
"total fat(g)",44.8833333333333,"South Korea"
"carbohydrate(g)",285.7,"South Korea"
"calcium (mg)",523.086666666667,"South Korea"
"phosphorus (mg)",1059.975,"South Korea"
"iron (mg)",10.9066666666667,"South Korea"
"vitamina (milg)",632.735,"South Korea"
"vitamin c (mg)",85.9083333333333,"South Korea"
"calcium (mg)",503.991623457058,"Japan"
"carbohydrate(g)",246.277212092752,"Japan"
"food energy(kcal)",1769.19678094565,"Japan"
"iron (mg)",6.79502447433018,"Japan"
"phosphorus (mg)",917.756495878252,"Japan"
"protein(g)",63.7962091410508,"Japan"
"total fat(g)",53.6534769843552,"Japan"
"vitamin c (mg)",94.9802821250685,"Japan"
"vitamina (milg)",498.905458039859,"Japan"
"food energy(kcal)",2048.3411715,"Australia"
"protein(g)",82.65,"Australia"
"total fat(g)",74.2,"Australia"
"carbohydrate(g)",248.925,"Australia"
"vitamin c (mg)",97.575,"Australia"
"calcium (mg)",822.775,"Australia"
"iron (mg)",10.4,"Australia"
"phosphorus (mg)",1355.625,"Australia"
"vitamina (milg)",358.0375,"Australia"
"iron (mg)",14.3,"USA"
"vitamin c (mg)",79.8,"USA"
"calcium (mg)",1082,"USA"
"phosphorus (mg)",1318,"USA"
"food energy(kcal)",1983,"USA"
"protein(g)",70.6,"USA"
"carbohydrate(g)",265,"USA"
"total fat(g)",73.3,"USA"
"vitamina (milg)",597,"USA"
