"variable","income","year","value","foodGroup"
"added sugars","$0-$24,999","2007-2008",3.74334082,"Oil, Fat, and Sugar"
"cheese","$0-$24,999","2007-2008",5.44,"Dairy"
"citrus, melons, berries","$0-$24,999","2007-2008",0.8,"Fruit"
"cured meat","$0-$24,999","2007-2008",0.92,"Meat, Paultry, and Seafood"
"dark green","$0-$24,999","2007-2008",0.24,"Green and Red Vegetable"
"eggs","$0-$24,999","2007-2008",0.33,"Egg, Nuts, and Soybean"
"fluid milk","$0-$24,999","2007-2008",11.04,"Dairy"
"fruit juice","$0-$24,999","2007-2008",4.56,"Fruit"
"meat","$0-$24,999","2007-2008",1.23,"Meat, Paultry, and Seafood"
"nuts and seeds","$0-$24,999","2007-2008",0.23,"Egg, Nuts, and Soybean"
"oil","$0-$24,999","2007-2008",0.65856558,"Oil, Fat, and Sugar"
"other","$0-$24,999","2007-2008",1.2,"Green and Red Vegetable"
"other fruit","$0-$24,999","2007-2008",3.68,"Fruit"
"other red and orange","$0-$24,999","2007-2008",0.32,"Green and Red Vegetable"
"other starchy","$0-$24,999","2007-2008",0.48,"Starchy Vegetable"
"potatoes","$0-$24,999","2007-2008",2.88,"Starchy Vegetable"
"poultry","$0-$24,999","2007-2008",0.91,"Meat, Paultry, and Seafood"
"refined grains","$0-$24,999","2007-2008",5.78,"Grain"
"seafood high n3","$0-$24,999","2007-2008",0.02,"Meat, Paultry, and Seafood"
"seafood low n3","$0-$24,999","2007-2008",0.23,"Meat, Paultry, and Seafood"
"solid fats","$0-$24,999","2007-2008",1.3069017,"Oil, Fat, and Sugar"
"soybean products","$0-$24,999","2007-2008",0.03,"Egg, Nuts, and Soybean"
"tomatoes","$0-$24,999","2007-2008",2.16,"Green and Red Vegetable"
"whole grains","$0-$24,999","2007-2008",0.42,"Grain"
"yoghurt","$0-$24,999","2007-2008",0.16,"Dairy"
"added sugars","$25,000-$74,999","2007-2008",3.2833399,"Oil, Fat, and Sugar"
"cheese","$25,000-$74,999","2007-2008",6.48,"Dairy"
"citrus, melons, berries","$25,000-$74,999","2007-2008",0.96,"Fruit"
"cured meat","$25,000-$74,999","2007-2008",0.95,"Meat, Paultry, and Seafood"
"dark green","$25,000-$74,999","2007-2008",0.4,"Green and Red Vegetable"
"eggs","$25,000-$74,999","2007-2008",0.36,"Egg, Nuts, and Soybean"
"fluid milk","$25,000-$74,999","2007-2008",10,"Dairy"
"fruit juice","$25,000-$74,999","2007-2008",2.88,"Fruit"
"meat","$25,000-$74,999","2007-2008",1.07,"Meat, Paultry, and Seafood"
"nuts and seeds","$25,000-$74,999","2007-2008",0.32,"Egg, Nuts, and Soybean"
"oil","$25,000-$74,999","2007-2008",0.62505528,"Oil, Fat, and Sugar"
"organ meat","$25,000-$74,999","2007-2008",0.01,"Meat, Paultry, and Seafood"
"other","$25,000-$74,999","2007-2008",1.36,"Green and Red Vegetable"
"other fruit","$25,000-$74,999","2007-2008",3.52,"Fruit"
"other red and orange","$25,000-$74,999","2007-2008",0.32,"Green and Red Vegetable"
"other starchy","$25,000-$74,999","2007-2008",0.56,"Starchy Vegetable"
"potatoes","$25,000-$74,999","2007-2008",2.32,"Starchy Vegetable"
"poultry","$25,000-$74,999","2007-2008",1.13,"Meat, Paultry, and Seafood"
"refined grains","$25,000-$74,999","2007-2008",6.02,"Grain"
"seafood high n3","$25,000-$74,999","2007-2008",0.02,"Meat, Paultry, and Seafood"
"seafood low n3","$25,000-$74,999","2007-2008",0.16,"Meat, Paultry, and Seafood"
"solid fats","$25,000-$74,999","2007-2008",1.46281278,"Oil, Fat, and Sugar"
"soybean products","$25,000-$74,999","2007-2008",0.03,"Egg, Nuts, and Soybean"
"tomatoes","$25,000-$74,999","2007-2008",1.52,"Green and Red Vegetable"
"whole grains","$25,000-$74,999","2007-2008",0.51,"Grain"
"yoghurt","$25,000-$74,999","2007-2008",0.32,"Dairy"
"added sugars","$75,000 or higher","2007-2008",3.5666738,"Oil, Fat, and Sugar"
"cheese","$75,000 or higher","2007-2008",4.64,"Dairy"
"citrus, melons, berries","$75,000 or higher","2007-2008",2.08,"Fruit"
"cured meat","$75,000 or higher","2007-2008",0.8,"Meat, Paultry, and Seafood"
"dark green","$75,000 or higher","2007-2008",0.4,"Green and Red Vegetable"
"eggs","$75,000 or higher","2007-2008",0.32,"Egg, Nuts, and Soybean"
"fluid milk","$75,000 or higher","2007-2008",10.8,"Dairy"
"fruit juice","$75,000 or higher","2007-2008",3.04,"Fruit"
"meat","$75,000 or higher","2007-2008",1.27,"Meat, Paultry, and Seafood"
"nuts and seeds","$75,000 or higher","2007-2008",0.45,"Egg, Nuts, and Soybean"
"oil","$75,000 or higher","2007-2008",0.61059294,"Oil, Fat, and Sugar"
"organ meat","$75,000 or higher","2007-2008",0,"Meat, Paultry, and Seafood"
"other","$75,000 or higher","2007-2008",1.36,"Green and Red Vegetable"
"other fruit","$75,000 or higher","2007-2008",5.04,"Fruit"
"other red and orange","$75,000 or higher","2007-2008",0.56,"Green and Red Vegetable"
"other starchy","$75,000 or higher","2007-2008",0.32,"Starchy Vegetable"
"potatoes","$75,000 or higher","2007-2008",2.24,"Starchy Vegetable"
"poultry","$75,000 or higher","2007-2008",1.08,"Meat, Paultry, and Seafood"
"refined grains","$75,000 or higher","2007-2008",5.71,"Grain"
"seafood high n3","$75,000 or higher","2007-2008",0.02,"Meat, Paultry, and Seafood"
"seafood low n3","$75,000 or higher","2007-2008",0.16,"Meat, Paultry, and Seafood"
"solid fats","$75,000 or higher","2007-2008",1.2328263,"Oil, Fat, and Sugar"
"soybean products","$75,000 or higher","2007-2008",0.03,"Egg, Nuts, and Soybean"
"tomatoes","$75,000 or higher","2007-2008",1.6,"Green and Red Vegetable"
"whole grains","$75,000 or higher","2007-2008",0.52,"Grain"
"yoghurt","$75,000 or higher","2007-2008",0.24,"Dairy"
"added sugars","all individuals","2007-2008",3.4666736,"Oil, Fat, and Sugar"
"cheese","all individuals","2007-2008",5.44,"Dairy"
"citrus, melons, berries","all individuals","2007-2008",1.44,"Fruit"
"cured meat","all individuals","2007-2008",0.85,"Meat, Paultry, and Seafood"
"dark green","all individuals","2007-2008",0.4,"Green and Red Vegetable"
"eggs","all individuals","2007-2008",0.34,"Egg, Nuts, and Soybean"
"fluid milk","all individuals","2007-2008",10.24,"Dairy"
"fruit juice","all individuals","2007-2008",3.2,"Fruit"
"meat","all individuals","2007-2008",1.19,"Meat, Paultry, and Seafood"
"nuts and seeds","all individuals","2007-2008",0.36,"Egg, Nuts, and Soybean"
"oil","all individuals","2007-2008",0.62858268,"Oil, Fat, and Sugar"
"organ meat","all individuals","2007-2008",0.01,"Meat, Paultry, and Seafood"
"other","all individuals","2007-2008",1.36,"Green and Red Vegetable"
"other fruit","all individuals","2007-2008",4.16,"Fruit"
"other red and orange","all individuals","2007-2008",0.4,"Green and Red Vegetable"
"other starchy","all individuals","2007-2008",0.48,"Starchy Vegetable"
"potatoes","all individuals","2007-2008",2.56,"Starchy Vegetable"
"poultry","all individuals","2007-2008",1.11,"Meat, Paultry, and Seafood"
"refined grains","all individuals","2007-2008",5.82,"Grain"
"seafood high n3","all individuals","2007-2008",0.02,"Meat, Paultry, and Seafood"
"seafood low n3","all individuals","2007-2008",0.17,"Meat, Paultry, and Seafood"
"solid fats","all individuals","2007-2008",1.3562853,"Oil, Fat, and Sugar"
"soybean products","all individuals","2007-2008",0.03,"Egg, Nuts, and Soybean"
"tomatoes","all individuals","2007-2008",1.68,"Green and Red Vegetable"
"whole grains","all individuals","2007-2008",0.54,"Grain"
"yoghurt","all individuals","2007-2008",0.24,"Dairy"
"added sugars","$0-$24,999","2009-2010",3.02333938,"Oil, Fat, and Sugar"
"cheese","$0-$24,999","2009-2010",5.92,"Dairy"
"citrus, melons, berries","$0-$24,999","2009-2010",1.28,"Fruit"
"cured meat","$0-$24,999","2009-2010",0.92,"Meat, Paultry, and Seafood"
"dark green","$0-$24,999","2009-2010",0.24,"Green and Red Vegetable"
"eggs","$0-$24,999","2009-2010",0.34,"Egg, Nuts, and Soybean"
"fluid milk","$0-$24,999","2009-2010",11.76,"Dairy"
"fruit juice","$0-$24,999","2009-2010",3.44,"Fruit"
"meat","$0-$24,999","2009-2010",0.93,"Meat, Paultry, and Seafood"
"nuts and seeds","$0-$24,999","2009-2010",0.23,"Egg, Nuts, and Soybean"
"oil","$0-$24,999","2009-2010",0.62293884,"Oil, Fat, and Sugar"
"organ meat","$0-$24,999","2009-2010",0.01,"Meat, Paultry, and Seafood"
"other","$0-$24,999","2009-2010",2,"Green and Red Vegetable"
"other fruit","$0-$24,999","2009-2010",4.56,"Fruit"
"other red and orange","$0-$24,999","2009-2010",0.32,"Green and Red Vegetable"
"other starchy","$0-$24,999","2009-2010",0.48,"Starchy Vegetable"
"potatoes","$0-$24,999","2009-2010",2.4,"Starchy Vegetable"
"poultry","$0-$24,999","2009-2010",1.62,"Meat, Paultry, and Seafood"
"refined grains","$0-$24,999","2009-2010",6.25,"Grain"
"seafood high n3","$0-$24,999","2009-2010",0.03,"Meat, Paultry, and Seafood"
"seafood low n3","$0-$24,999","2009-2010",0.15,"Meat, Paultry, and Seafood"
"solid fats","$0-$24,999","2009-2010",1.36475106,"Oil, Fat, and Sugar"
"soybean products","$0-$24,999","2009-2010",0.02,"Egg, Nuts, and Soybean"
"tomatoes","$0-$24,999","2009-2010",1.6,"Green and Red Vegetable"
