"State","Median.Household.Income","Child.Adolescent.Obesity.Rate","Region","Race","Race.Distribution"
"Alabama",43900.09,15.73,"South","Asian",1
"Alabama",43900.09,15.73,"South","Hispanic",3.8
"Alabama",43900.09,15.73,"South","Black",26.1
"Alabama",43900.09,15.73,"South","White",66.9
"Alaska",65436.27,15.43,"West","Asian",5.8
"Alaska",65436.27,15.43,"West","Black",3.1
"Alaska",65436.27,15.43,"West","Hispanic",6.3
"Alaska",65436.27,15.43,"West","White",63
"Arizona",51246,12.47,"West","Black",3.9
"Arizona",51246,12.47,"West","Hispanic",30.4
"Arizona",51246,12.47,"West","White",56.7
"Arizona",51246,12.47,"West","Asian",2.9
"Arkansas",42423,15.76,"South","Black",15.1
"Arkansas",42423,15.76,"South","White",74.1
"Arkansas",42423,15.76,"South","Asian",1.1
"Arkansas",42423,15.76,"South","Hispanic",6.8
"California",60110.64,16.31,"West","Black",5.6
"California",60110.64,16.31,"West","Asian",13.3
"California",60110.64,16.31,"West","Hispanic",38.3
"California",60110.64,16.31,"West","White",39.2
"Colorado",62674.73,8.68,"West","Hispanic",20.9
"Colorado",62674.73,8.68,"West","Asian",3
"Colorado",62674.73,8.68,"West","White",69.6
"Colorado",62674.73,8.68,"West","Black",3.9
"Connecticut",67480.82,13.45,"Northeast","Black",9.5
"Connecticut",67480.82,13.45,"Northeast","Hispanic",14.3
"Connecticut",67480.82,13.45,"Northeast","White",70.1
"Connecticut",67480.82,13.45,"Northeast","Asian",3.9
"Delaware",55750,15.26,"South","Hispanic",8.4
"Delaware",55750,15.26,"South","White",64.9
"Delaware",55750,15.26,"South","Asian",3.5
"Delaware",55750,15.26,"South","Black",20.7
"Florida",47723.55,12.25,"South","Hispanic",23.6
"Florida",47723.55,12.25,"South","White",56.7
"Florida",47723.55,12.25,"South","Asian",2.6
"Florida",47723.55,12.25,"South","Black",15
"Georgia",50083.55,13.49,"South","Asian",3.5
"Georgia",50083.55,13.49,"South","Black",30.2
"Georgia",50083.55,13.49,"South","Hispanic",8.9
"Georgia",50083.55,13.49,"South","White",55.2
"Hawaii",65678.36,12.46,"West","Asian",38
"Hawaii",65678.36,12.46,"West","White",22.2
