"variable","race","year","value","foodGroup"
"added sugars","All Hispanic","2005-2006",2.93167253,"Oil, Fat, and Sugar"
"cheese","All Hispanic","2005-2006",4.96,"Dairy"
"citrus, melons, berries","All Hispanic","2005-2006",1.12,"Fruit"
"cured meat","All Hispanic","2005-2006",0.67,"Meat, Paultry, and Seafood"
"dark green","All Hispanic","2005-2006",0.16,"Green and Red Vegetable"
"eggs","All Hispanic","2005-2006",0.44,"Egg, Nuts, and Soybean"
"fluid milk","All Hispanic","2005-2006",13.6,"Dairy"
"meat","All Hispanic","2005-2006",1.2,"Meat, Paultry, and Seafood"
"nuts and seeds","All Hispanic","2005-2006",0.23,"Egg, Nuts, and Soybean"
"oil","All Hispanic","2005-2006",0.69736698,"Oil, Fat, and Sugar"
"organ meat","All Hispanic","2005-2006",0.01,"Meat, Paultry, and Seafood"
"other","All Hispanic","2005-2006",2.24,"Green and Red Vegetable"
"other fruit","All Hispanic","2005-2006",3.84,"Fruit"
"other red and orange","All Hispanic","2005-2006",0.4,"Green and Red Vegetable"
"other starchy","All Hispanic","2005-2006",0.32,"Starchy Vegetable"
"potatoes","All Hispanic","2005-2006",2.08,"Starchy Vegetable"
"poultry","All Hispanic","2005-2006",0.93,"Meat, Paultry, and Seafood"
"refined grains","All Hispanic","2005-2006",6.98,"Grain"
"seafood low n3","All Hispanic","2005-2006",0.02,"Meat, Paultry, and Seafood"
"seafood high n3","All Hispanic","2005-2006",0.15,"Meat, Paultry, and Seafood"
"solid fats","All Hispanic","2005-2006",1.34711406,"Oil, Fat, and Sugar"
"soybean products","All Hispanic","2005-2006",0.03,"Egg, Nuts, and Soybean"
"tomatoes","All Hispanic","2005-2006",2.48,"Green and Red Vegetable"
"whole grains","All Hispanic","2005-2006",0.47,"Grain"
"yoghurt","All Hispanic","2005-2006",0.32,"Dairy"
"added sugars","Mexican American","2005-2006",2.94833923,"Oil, Fat, and Sugar"
"cheese","Mexican American","2005-2006",4.88,"Dairy"
"citrus, melons, berries","Mexican American","2005-2006",1.2,"Fruit"
"cured meat","Mexican American","2005-2006",0.63,"Meat, Paultry, and Seafood"
"dark green","Mexican American","2005-2006",0.16,"Green and Red Vegetable"
"eggs","Mexican American","2005-2006",0.41,"Egg, Nuts, and Soybean"
"fluid milk","Mexican American","2005-2006",13.36,"Dairy"
"meat","Mexican American","2005-2006",1.19,"Meat, Paultry, and Seafood"
"nuts and seeds","Mexican American","2005-2006",0.24,"Egg, Nuts, and Soybean"
"oil","Mexican American","2005-2006",0.6896067,"Oil, Fat, and Sugar"
"organ meat","Mexican American","2005-2006",0.01,"Meat, Paultry, and Seafood"
"other","Mexican American","2005-2006",2.16,"Green and Red Vegetable"
