"variable","race","year","value","nutrientGroup"
"carbohydrate(g)","All Hispanic","2007-2008",249,"Carbohydrates"
"dietary fiber(g)","All Hispanic","2007-2008",13.2,"Carbohydrates"
"monosaturated fat(g)","All Hispanic","2007-2008",23.5,"Lipids|Fat"
"polysaturated fat(g)","All Hispanic","2007-2008",12.7,"Lipids|Fat"
"protein(g)","All Hispanic","2007-2008",64.6,"Proteins"
"saturated fat(g)","All Hispanic","2007-2008",23.4,"Lipids|Fat"
"total fat(g)","All Hispanic","2007-2008",65.3,"Lipids|Fat"
"total sugars(g)","All Hispanic","2007-2008",122,"Carbohydrates"
"carbohydrate(g)","Mexican American","2007-2008",244,"Carbohydrates"
"dietary fiber(g)","Mexican American","2007-2008",13.1,"Carbohydrates"
"monosaturated fat(g)","Mexican American","2007-2008",23.4,"Lipids|Fat"
"polysaturated fat(g)","Mexican American","2007-2008",12.8,"Lipids|Fat"
"protein(g)","Mexican American","2007-2008",63.5,"Proteins"
"saturated fat(g)","Mexican American","2007-2008",22.6,"Lipids|Fat"
"total fat(g)","Mexican American","2007-2008",64.4,"Lipids|Fat"
"total sugars(g)","Mexican American","2007-2008",120,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Black","2007-2008",262,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Black","2007-2008",11.8,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Black","2007-2008",27.7,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Black","2007-2008",15.5,"Lipids|Fat"
"protein(g)","Non-Hispanic Black","2007-2008",64.3,"Proteins"
"saturated fat(g)","Non-Hispanic Black","2007-2008",24.2,"Lipids|Fat"
"total fat(g)","Non-Hispanic Black","2007-2008",73.6,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Black","2007-2008",130,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic White","2007-2008",266,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic White","2007-2008",12.8,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic White","2007-2008",27.2,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic White","2007-2008",14.4,"Lipids|Fat"
"protein(g)","Non-Hispanic White","2007-2008",67.8,"Proteins"
"saturated fat(g)","Non-Hispanic White","2007-2008",26.6,"Lipids|Fat"
"total fat(g)","Non-Hispanic White","2007-2008",74.6,"Lipids|Fat"
"total sugars(g)","Non-Hispanic White","2007-2008",138,"Carbohydrates"
"carbohydrate(g)","All Hispanic","2009-2010",252,"Carbohydrates"
"dietary fiber(g)","All Hispanic","2009-2010",14.7,"Carbohydrates"
"monosaturated fat(g)","All Hispanic","2009-2010",23.7,"Lipids|Fat"
"polysaturated fat(g)","All Hispanic","2009-2010",14,"Lipids|Fat"
"protein(g)","All Hispanic","2009-2010",67.2,"Proteins"
"saturated fat(g)","All Hispanic","2009-2010",23.1,"Lipids|Fat"
"total fat(g)","All Hispanic","2009-2010",66.9,"Lipids|Fat"
"total sugars(g)","All Hispanic","2009-2010",115,"Carbohydrates"
"carbohydrate(g)","Mexican American","2009-2010",249,"Carbohydrates"
"dietary fiber(g)","Mexican American","2009-2010",15.3,"Carbohydrates"
"monosaturated fat(g)","Mexican American","2009-2010",23.5,"Lipids|Fat"
"polysaturated fat(g)","Mexican American","2009-2010",13.7,"Lipids|Fat"
"protein(g)","Mexican American","2009-2010",67,"Proteins"
"saturated fat(g)","Mexican American","2009-2010",22.6,"Lipids|Fat"
"total fat(g)","Mexican American","2009-2010",65.8,"Lipids|Fat"
"total sugars(g)","Mexican American","2009-2010",114,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic Black","2009-2010",260,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic Black","2009-2010",13,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic Black","2009-2010",24.9,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic Black","2009-2010",15.3,"Lipids|Fat"
"protein(g)","Non-Hispanic Black","2009-2010",67.8,"Proteins"
"saturated fat(g)","Non-Hispanic Black","2009-2010",23.7,"Lipids|Fat"
"total fat(g)","Non-Hispanic Black","2009-2010",70.1,"Lipids|Fat"
"total sugars(g)","Non-Hispanic Black","2009-2010",128,"Carbohydrates"
"carbohydrate(g)","Non-Hispanic White","2009-2010",255,"Carbohydrates"
"dietary fiber(g)","Non-Hispanic White","2009-2010",13.6,"Carbohydrates"
"monosaturated fat(g)","Non-Hispanic White","2009-2010",23,"Lipids|Fat"
"polysaturated fat(g)","Non-Hispanic White","2009-2010",13.6,"Lipids|Fat"
"protein(g)","Non-Hispanic White","2009-2010",64.3,"Proteins"
"saturated fat(g)","Non-Hispanic White","2009-2010",23.2,"Lipids|Fat"
"total fat(g)","Non-Hispanic White","2009-2010",65.8,"Lipids|Fat"
"total sugars(g)","Non-Hispanic White","2009-2010",127,"Carbohydrates"
"carbohydrate(g)","All Hispanic","2011-2012",272,"Carbohydrates"
"dietary fiber(g)","All Hispanic","2011-2012",16.6,"Carbohydrates"
"monosaturated fat(g)","All Hispanic","2011-2012",25,"Lipids|Fat"
