"State","Asian","Black","Hispanic","White","Median.Household.Income","Child.Adolescent.Obesity.Rate"
"Alabama",1,26.1,3.8,66.9,43900.09,15.73
"Alaska",5.8,3.1,6.3,63,65436.27,15.43
"Arizona",2.9,3.9,30.4,56.7,51246,12.47
"Arkansas",1.1,15.1,6.8,74.1,42423,15.76
"California",13.3,5.6,38.3,39.2,60110.64,16.31
"Colorado",3,3.9,20.9,69.6,62674.73,8.68
"Connecticut",3.9,9.5,14.3,70.1,67480.82,13.45
"Delaware",3.5,20.7,8.4,64.9,55750,15.26
"Florida",2.6,15,23.6,56.7,47723.55,12.25
"Georgia",3.5,30.2,8.9,55.2,50083.55,13.49
"Hawaii",38,1.4,9.4,22.2,65678.36,12.46
"Idaho",1.1,1,11.5,83.6,51176,10.51
"Illinois",4.8,14,16.3,62.8,56061.18,13.71
"Indiana",1.8,8.9,6.1,81,49756.55,14.29
"Iowa",2.1,2.9,5.2,88.1,55208.64,14.22
"Kansas",2.3,5.3,11,77.7,51548.36,12.42
"Kentucky",1,7.6,2.9,86.3,43106.45,16.84
"Louisiana",1.7,31.9,4.4,60.2,41703.91,14.66
"Maine",1,1.1,1.2,94.2,49744.27,13.41
"Maryland",5.9,28.8,8.7,53.6,71369,13.68
"Massachusetts",5.7,6.3,10.4,75.1,65449.91,13.06
"Michigan",2.5,13.8,4.7,76.5,52189.09,13.51
"Minnesota",4.3,5.3,4.8,82.3,62995.73,12.77
"Mississippi",1,37.5,2.5,57.9,38358.45,16.19
"Missouri",1.8,11,3.8,80.9,51327.18,13.97
"Montana",1,1,3.3,87.4,47879.64,10.88
"National",3.84,10.04,10.99,70.78,53985.48,13.62
"Nebraska",2.1,4.4,9.6,81.4,55244.91,13.97
"Nevada",7.4,7.9,27.6,52.6,52672.45,12.45
"New Hampshire",2.2,1,3.1,91.8,69807.64,13.27
"New Jersey",8.7,12.4,18.7,58,66864.73,13.75
"New Mexico",1.1,2,47.2,39.5,44293.91,13.32
"New York",7.7,14.1,18.2,57.3,54235.64,12.7
"North Carolina",2.3,21,8.6,64.8,46373.82,14.03
"North Dakota",1.11,1.7,2.3,87.5,54265.64,13.02
"Ohio",2,11.9,3.3,80.8,50317.27,13.05
"Oklahoma",2,7,9.4,68.1,47030.09,15.05
"Oregon",3.9,2,12.1,77.8,55375.73,15.63
"Pennsylvania",2.8,10,6.2,79,54606.18,12.94
"Rhode Island",3.1,5.1,13.6,75.1,56389.73,13.47
"South Carolina",1.2,27.4,4.9,64.2,46249.09,14.24
"South Dakota",1.1,1.4,3,84.1,51378.09,13.08
"Tennessee",1.4,16.4,4.8,75.3,45450.91,16.33
"Texas",4.2,11.2,38.3,44.3,51438.09,15.61
"Utah",2,1,13.1,79.9,62259,8.57
"Vermont",1.33,1,1.3,94.1,56648.64,12.45
"Virginia",5.9,19,8.3,64.1,63633,15.84
"Washington",7.6,3,11.6,71.6,62807.45,14.39
"West Virginia",1,3.1,1,93.3,42092.55,15.66
"Wisconsin",2.4,5.9,6.1,83.1,54850.73,12.53
"Wyoming",1,1,9.3,85.2,54607.36,10.16
